XOXOOXXO-, O_WIN
XOXOOO-XX, O_WIN
XOXXO-OOX, O_WIN
OXXOOX-XO, O_WIN
-XOOOXOXX, O_WIN
XOO-OXXOX, O_WIN
OO-XOXXXO, O_WIN
XOXOOOXX-, O_WIN
OXOXO-OXX, O_WIN
XOXOO-XOX, O_WIN
OOOXOXX-X, O_WIN
XOXOOOX-X, O_WIN
OOOOXX-XX, O_WIN
XOXXOO-OX, O_WIN
XXO-OOXXO, O_WIN
XOO-OXOXX, O_WIN
XOXXOXOO-, O_WIN
XXO--OX-O, O_WIN
XOXXO--O-, O_WIN
XOXXOX-OO, O_WIN
OOOXX-XXO, O_WIN
XXO-XO--O, O_WIN
XOX-OX-O-, O_WIN
XOO-XOXXO, O_WIN
-XOXOOXXO, O_WIN
XOXXX-OOO, O_WIN
XOX-OXXOO, O_WIN
OXOO-XOXX, O_WIN
XXOXX-OOO, O_WIN
XOOXOX-OX, O_WIN
XOX-OOXOX, O_WIN
XXOO-OXXO, O_WIN
OXOOXXO-X, O_WIN
XXOX-O--O, O_WIN
XOX-O-XO-, O_WIN
XOX-O--OX, O_WIN
XOXX-XOOO, O_WIN
OXXOXXO-O, O_WIN
OOX-OXXXO, O_WIN
XXOOOOX-X, O_WIN
XOX-XXOOO, O_WIN
XXO-OXOOX, O_WIN
XXOXO-OOX, O_WIN
XXOOOO-XX, O_WIN
XXOOOXO-X, O_WIN
XOOXXO-XO, O_WIN
XOOXOXOX-, O_WIN
XOOXOXO-X, O_WIN
XOOXO-OXX, O_WIN
XXO-OOOXX, O_WIN
XO-XOXOOX, O_WIN
XO-XOX-O-, O_WIN
-X--XXOOO, O_WIN
O-XOX-O-X, O_WIN
OOO-XX-X-, O_WIN
OOO--X-XX, O_WIN
XO-XO--OX, O_WIN
O-X-OXX-O, O_WIN
XXO-OXOXO, O_WIN
XXOXO-OXO, O_WIN
XO-OOXXOX, O_WIN
XO--OXXO-, O_WIN
XO--OX-OX, O_WIN
OX-OX-O-X, O_WIN
--XOOO-XX, O_WIN
XXO--O-XO, O_WIN
XO--O-XOX, O_WIN
-XXOOO-X-, O_WIN
OOO-X-X-X, O_WIN
XXO-XOXOO, O_WIN
XXOOXOX-O, O_WIN
XXOOOXOX-, O_WIN
OXXOXOO-X, O_WIN
XXOOO-OXX, O_WIN
XXOOOOXX-, O_WIN
XX-OOOXXO, O_WIN
XXOXOOOX-, O_WIN
XXOXOO-XO, O_WIN
XXOXOOO-X, O_WIN
XXO-OXO--, O_WIN
XXOXO-O--, O_WIN
XXOX-OOXO, O_WIN
XXOXOXOO-, O_WIN
XXOXOXO-O, O_WIN
XXO-O-OX-, O_WIN
XXO-O-O-X, O_WIN
OOOX-X-X-, O_WIN
XXOXXOO-O, O_WIN
XXOXXO-OO, O_WIN
XXOX-XOOO, O_WIN
OXOX-OXXO, O_WIN
XXO-XXOOO, O_WIN
OXXXX-OOO, O_WIN
X-OXOXO--, O_WIN
--OX-OXXO, O_WIN
X-OXOXOOX, O_WIN
X-OOOXOXX, O_WIN
X-OXOXOXO, O_WIN
OXO-OXXXO, O_WIN
OOOX-XOXX, O_WIN
X-OXOOOXX, O_WIN
X-OXO-OX-, O_WIN
X-OXO-O-X, O_WIN
O-XXO-X-O, O_WIN
X-OXXOOXO, O_WIN
X-OXXO--O, O_WIN
X-OX-O-XO, O_WIN
X-OOXOXXO, O_WIN
X-O-XOX-O, O_WIN
OOOXX--X-, O_WIN
X-O-XO-XO, O_WIN
-XX-X-OOO, O_WIN
-OX-OXXO-, O_WIN
X-O-OXOX-, O_WIN
X-O-OXO-X, O_WIN
X-X--XOOO, O_WIN
X-O--OXXO, O_WIN
X-O-O-OXX, O_WIN
XX-OOOX--, O_WIN
OXXO--O-X, O_WIN
-OXXO-XO-, O_WIN
XX-OOOXOX, O_WIN
XX-XOXOOO, O_WIN
XX-OOO-X-, O_WIN
X-X-X-OOO, O_WIN
OXX-OX--O, O_WIN
XX-OOOOXX, O_WIN
XX-OOO--X, O_WIN
OX--OX-XO, O_WIN
XX-OXXOOO, O_WIN
X-XOOOX--, O_WIN
O--XO-XXO, O_WIN
X-XOOOXOX, O_WIN
X-XOOOXXO, O_WIN
OOXXO-XOX, O_WIN
OOO-XXXOX, O_WIN
X-XOOO-X-, O_WIN
X-XOOOOXX, O_WIN
