XOXOX-XO-, X_WIN
O-XX-XOOX, X_WIN
X--OXOXOX, X_WIN
XOXOX--OX, X_WIN
OXOOX--XX, X_WIN
XXXXO-OO-, X_WIN
XOXOX-O-X, X_WIN
XOX-X-XOO, X_WIN
OX-O-OXXX, X_WIN
XOOXOXX--, X_WIN
XXXXOO-O-, X_WIN
XOXOXOX--, X_WIN
X-XOXOXO-, X_WIN
XOXOXOOXX, X_WIN
XOOX--X--, X_WIN
OXOOXXXXO, X_WIN
XXXOOXOXO, X_WIN
XOOXXXOXO, X_WIN
XOXOXXXOO, X_WIN
--OO--XXX, X_WIN
XOOXOXXXO, X_WIN
XOXXXOXOO, X_WIN
XOXOXOXXO, X_WIN
XOXOXO--X, X_WIN
XO-XOOXX-, X_WIN
O-X--X-OX, X_WIN
OXXXXOOXO, X_WIN
XXOOXOXOX, X_WIN
XOXOXXOOX, X_WIN
XXXOOXO--, X_WIN
OO--OXXXX, X_WIN
XOOXXXO--, X_WIN
OO-XXXX-O, X_WIN
X-OXOOXX-, X_WIN
XOXOX-X-O, X_WIN
XOXOOXOXX, X_WIN
XXO-X-OOX, X_WIN
XOOXO-X-X, X_WIN
XO-XXOO-X, X_WIN
-OXO-XXOX, X_WIN
X--OXXOOX, X_WIN
XO-O-OXXX, X_WIN
XOOXX--OX, X_WIN
-OXXXOX-O, X_WIN
OOXOXX--X, X_WIN
XXXOXO--O, X_WIN
XXXOO--OX, X_WIN
X-XO-XOOX, X_WIN
XO-OXX-OX, X_WIN
XOXXOOX--, X_WIN
X-OXO-XOX, X_WIN
XO-X-OXOX, X_WIN
XOXOOX--X, X_WIN
-OXOXXXO-, X_WIN
XOXX--XOO, X_WIN
OOXO--XXX, X_WIN
-XXOXOXO-, X_WIN
XOX--XOOX, X_WIN
-XO-XXOXO, X_WIN
XOXO-XO-X, X_WIN
XXXOO-O-X, X_WIN
XOOXX-O-X, X_WIN
-X-OXXOXO, X_WIN
XO-OXXO-X, X_WIN
XOXXO-X-O, X_WIN
-XXOXOX-O, X_WIN
-XOXXXOO-, X_WIN
XOXO-X-OX, X_WIN
O-X-X-X-O, X_WIN
XOXOXOXOX, X_WIN
O-X-XOX--, X_WIN
XOXXOOXXO, X_WIN
-OXOXX-OX, X_WIN
XXX--OOOX, X_WIN
XOOXX-XO-, X_WIN
--OOXOXXX, X_WIN
XXXOO-XO-, X_WIN
XXOOXO--X, X_WIN
XOXX-OXO-, X_WIN
XO-OXO-XX, X_WIN
XOX-OXO-X, X_WIN
X-OXO-X--, X_WIN
XO-X-OX--, X_WIN
XOXXXOOOX, X_WIN
XXXOX-OO-, X_WIN
XO-XXOXO-, X_WIN
XXXOO-X-O, X_WIN
